sample_name,input_cells,estimated_cells,percentage_yield,mean_reads_per_cell,fraction_reads_in_cells,total_genes_detected
s1,20000,8583,42.92,42724,89.6,20280
s2,20000,16050,80.25,28133,94.3,20679
s3,20000,76179,380.9,5208,98.3,23641
s4,20000,4291,21.46,91431,83.4,18766
s5,20000,26209,131.05,18238,95.4,21598
s6,20000,8615,43.08,40800,76.7,22528
s7,20000,5924,29.62,68532,75.3,17393
s8,20000,9906,49.53,34608,89.0,18394
s9,20000,21479,107.4,5515,81.1,20604
s10,20000,19460,97.3,28051,92.0,22234
s11,20000,18111,90.56,18861,96.1,21206
s12,20000,26854,134.27,14156,89.5,22315
