"method","dims","res","n_strong_matches"
"LogNormalize",10,0.25,27
"LogNormalize",10,0.5,43
"LogNormalize",10,0.75,53
"LogNormalize",15,0.25,27
"LogNormalize",15,0.5,43
"LogNormalize",15,0.75,53
"LogNormalize",20,0.25,27
"LogNormalize",20,0.5,43
"LogNormalize",20,0.75,53
"LogNormalize",25,0.25,27
"LogNormalize",25,0.5,43
"LogNormalize",25,0.75,53
"LogNormalize",30,0.25,27
"LogNormalize",30,0.5,43
"LogNormalize",30,0.75,53
"SCT",10,0.25,26
"SCT",10,0.5,36
"SCT",10,0.75,50
"SCT",15,0.25,26
"SCT",15,0.5,36
"SCT",15,0.75,50
"SCT",20,0.25,26
"SCT",20,0.5,36
"SCT",20,0.75,50
"SCT",25,0.25,26
"SCT",25,0.5,36
"SCT",25,0.75,50
"SCT",30,0.25,26
"SCT",30,0.5,36
"SCT",30,0.75,50
